Iteration,Correlation,p-value,Delta mu,Mu
1,0.528204707,0.000547848,3.665209888,13.25909907
2,0.718913653,2.54E-07,1.813681731,11.44541734
3,0.83019045,6.33E-11,1.417338335,10.02807901
4,0.785872772,3.09E-09,0.036014209,10.06409322
5,0.794402035,1.57E-09,0.134240523,10.19833374
6,0.70889059,4.41E-07,0.481344721,10.67967846
7,0.867244924,9.26E-13,1.615993417,9.063685045
8,0.80790462,5.07E-10,1.23172921,10.29541425
9,0.70889059,4.41E-07,0.409896156,10.70531041
10,0.728308461,1.48E-07,0.288598951,10.41671146
11,0.70889059,4.41E-07,0.267327544,10.684039
12,0.849478366,8.08E-12,1.080123221,9.603915782
13,0.652792224,6.67E-06,1.889458497,11.49337428
14,0.70518365,5.38E-07,0.968104698,10.52526958
15,0.867244924,9.26E-13,1.436610339,9.088659243
16,0.627901574,1.88E-05,2.61834656,11.7070058
17,0.867244924,9.26E-13,2.680270476,9.026735327
18,0.784793441,3.35E-09,1.14512625,10.17186158
19,0.796060247,1.38E-09,0.23547236,10.40733394
20,0.867244924,9.26E-13,1.349046193,9.058287744
21,0.787911508,2.64E-09,1.730825037,10.78911278
22,0.673303962,2.64E-06,0.548943427,11.33805621
23,0.641298653,1.09E-05,0.313817382,11.65187359
24,0.673303962,2.64E-06,0.314995333,11.33687826
25,0.70889059,4.41E-07,0.639765705,10.69711255
26,0.815958793,2.47E-10,0.742840133,9.954272419
27,0.869732242,6.67E-13,1.052344676,8.901927743
28,0.5516909,0.000272063,3.361800115,12.26372786
29,0.853623896,5.00E-12,2.461458627,9.802269232
30,0.673303962,2.64E-06,1.555819564,11.3580888
31,0.641298653,1.09E-05,0.293169908,11.6512587
32,0.849478366,8.08E-12,2.075654433,9.575604271
33,0.627901574,1.88E-05,2.129895745,11.70550002
34,0.843674623,1.55E-11,2.413051421,9.292448595
35,0.856821876,3.42E-12,0.462615638,9.755064233
36,0.63683296,1.31E-05,1.587222302,11.34228654
37,0.869613798,6.78E-13,2.277050442,9.065236093
38,0.784193813,3.51E-09,1.270090052,10.33532615
39,0.856821876,3.42E-12,0.605568387,9.729757759
40,0.789470541,2.33E-09,0.466977442,10.1967352
41,0.823420747,1.23E-10,1.268420806,8.928314395
42,0.677010902,2.22E-06,2.615372631,11.54368703
43,0.778317456,5.47E-09,1.226055057,10.31763197
44,0.856821876,3.42E-12,0.588530728,9.729101241
45,0.884300819,8.46E-14,1.17312916,8.555972081
46,0.666507904,3.62E-06,2.45202657,11.00799865
47,0.856584989,3.52E-12,1.305999485,9.701999165
48,0.778317456,5.47E-09,0.639454973,10.34145414
49,0.856821876,3.42E-12,0.612394115,9.729060023
50,0.799544295,1.03E-09,0.108953523,9.838013546
51,0.816906342,2.26E-10,0.411339773,10.24935332
52,0.85883542,2.68E-12,0.901386765,9.347966554
53,0.677010902,2.22E-06,2.224987356,11.57295391
54,0.778317456,5.47E-09,1.255067429,10.31788648
55,0.860848963,2.09E-12,0.844217564,9.473668916
56,0.549637142,0.000289836,3.132159902,12.60582882
57,0.854571446,4.47E-12,3.250503589,9.355325229
58,0.888209462,4.63E-14,0.67019368,8.685131549
59,0.816906342,2.26E-10,1.551999953,10.2371315
60,0.884300819,8.46E-14,1.696535774,8.540595729
61,0.666507904,3.62E-06,2.46697252,11.00756825
62,0.856584989,3.52E-12,1.305356259,9.702211989
63,0.63683296,1.31E-05,1.640470884,11.34268287
64,0.859309194,2.53E-12,1.894015213,9.448667661
65,0.816906342,2.26E-10,0.781455373,10.23012303
66,0.884300819,8.46E-14,1.689202665,8.540920369
67,0.677010902,2.22E-06,3.03494195,11.57586232
68,0.802662362,7.95E-10,2.075000817,9.500861501
69,0.797865336,1.19E-09,0.446327856,9.947189358
70,0.816906342,2.26E-10,0.30180629,10.24899565
71,0.884300819,8.46E-14,1.707942385,8.541053263
72,0.797865336,1.19E-09,1.434401388,9.97545465
73,0.816906342,2.26E-10,0.273447959,10.24890261
74,0.884300819,8.46E-14,1.707768225,8.541134384
75,0.797865336,1.19E-09,1.434307415,9.975441799
76,0.816906342,2.26E-10,0.273155305,10.2485971
77,0.884300819,8.46E-14,1.707453598,8.541143506
78,0.816906342,2.26E-10,1.695837566,10.23698107
79,0.884300819,8.46E-14,1.695982746,8.540998325
80,0.888209462,4.63E-14,0.146760566,8.687758891
81,0.816906342,2.26E-10,1.549211423,10.23697031
82,0.85883542,2.68E-12,0.88791607,9.349054244
83,0.856821876,3.42E-12,0.405313419,9.754367663
84,0.85883542,2.68E-12,0.387463932,9.366903731
85,0.856821876,3.42E-12,0.387490743,9.754394474
86,0.85883542,2.68E-12,0.387490743,9.366903731
87,0.856821876,3.42E-12,0.387490743,9.754394474
88,0.85883542,2.68E-12,0.387490743,9.366903731
89,0.856821876,3.42E-12,0.387490743,9.754394474
90,0.85883542,2.68E-12,0.387490743,9.366903731
91,0.856821876,3.42E-12,0.387490743,9.754394474
92,0.85883542,2.68E-12,0.387607227,9.366787247
93,0.888209462,4.63E-14,0.680605025,8.686182222
94,0.888209462,4.63E-14,0.001798197,8.687980419
